,user,id,lang,source,favorite_count,retweet_count,created_at
134,realmadrid,1647352208533475331,es,Twitter for Advertisers,4174,310,2023-04-15 21:32:27+00:00
135,realmadrid,1647345808189054977,qme,TweetDeck,10873,560,2023-04-15 21:07:01+00:00
136,realmadrid,1647343619165020160,es,TweetDeck,24790,1530,2023-04-15 20:58:19+00:00
137,realmadrid,1647343128557285379,es,TweetDeck,15355,608,2023-04-15 20:56:22+00:00
138,realmadrid,1647342563697778690,und,TweetDeck,14804,2596,2023-04-15 20:54:07+00:00
139,realmadrid,1647339274008686597,qme,TweetDeck,32740,1814,2023-04-15 20:41:03+00:00
140,realmadrid,1647339164550012932,es,TweetDeck,3143,140,2023-04-15 20:40:37+00:00
141,realmadrid,1647338155048157186,art,TweetDeck,5215,413,2023-04-15 20:36:36+00:00
142,realmadrid,1647337972126171137,en,TweetDeck,6449,896,2023-04-15 20:35:53+00:00
143,realmadrid,1647337148889157637,en,TweetDeck,6902,986,2023-04-15 20:32:36+00:00
144,realmadrid,1647336001684029440,es,TweetDeck,2456,98,2023-04-15 20:28:03+00:00
145,realmadrid,1647330269173542915,es,TweetDeck,7697,262,2023-04-15 20:05:16+00:00
146,realmadrid,1647327181691924482,es,TweetDeck,8663,374,2023-04-15 19:53:00+00:00
147,realmadrid,1647326232000839682,und,TweetDeck,5292,232,2023-04-15 19:49:14+00:00
148,realmadrid,1647315048430272517,es,TweetDeck,5057,204,2023-04-15 19:04:47+00:00
149,realmadrid,1647313956342583296,qme,TweetDeck,4300,195,2023-04-15 19:00:27+00:00
150,realmadrid,1647312250196332544,es,Twitter Media Studio,2637,148,2023-04-15 18:53:40+00:00
151,realmadrid,1647310730700398593,es,Twitter Media Studio,2989,139,2023-04-15 18:47:38+00:00
152,realmadrid,1647309697475649537,es,TweetDeck,12215,509,2023-04-15 18:43:32+00:00
153,realmadrid,1647305710726946816,en,Twitter Media Studio,4442,195,2023-04-15 18:27:41+00:00
154,realmadrid,1647303986301616132,es,Twitter Media Studio,3508,212,2023-04-15 18:20:50+00:00
155,realmadrid,1647302857769750529,es,Twitter Media Studio,1829,127,2023-04-15 18:16:21+00:00
